DATE,PCEPI_PCH
1986-01-01,2.17575
1987-01-01,3.09065
1988-01-01,3.90769
1989-01-01,4.36676
1990-01-01,4.39027
1991-01-01,3.34393
1992-01-01,2.66550
1993-01-01,2.49092
1994-01-01,2.08666
1995-01-01,2.10542
1996-01-01,2.13851
1997-01-01,1.74030
1998-01-01,0.79573
1999-01-01,1.45701
2000-01-01,2.52924
2001-01-01,2.00471
2002-01-01,1.31338
2003-01-01,2.10073
2004-01-01,2.48233
2005-01-01,2.88122
2006-01-01,2.81585
2007-01-01,2.56603
2008-01-01,2.95926
2009-01-01,-0.27878
2010-01-01,1.79110
2011-01-01,2.52982
2012-01-01,1.86478
2013-01-01,1.31857
2014-01-01,1.39964
2015-01-01,0.18319
2016-01-01,1.01260
2017-01-01,1.74579
2018-01-01,2.04683
2019-01-01,1.43700
2020-01-01,1.08335
2021-01-01,4.17300
2022-01-01,6.45979
2023-01-01,3.73764
