DATE,DPCCRV1Q225SBEA_CH1
2006-10-01,-1.0
2007-01-01,0.5
2007-04-01,-1.5
2007-07-01,-0.2
2007-10-01,1.1
2008-01-01,-0.7
2008-04-01,0.0
2008-07-01,0.1
2008-10-01,-3.1
2009-01-01,-2.1
2009-04-01,-0.1
2009-07-01,-0.7
2009-10-01,2.8
2010-01-01,1.4
2010-04-01,-0.5
2010-07-01,-0.8
2010-10-01,-1.2
2011-01-01,0.4
2011-04-01,1.3
2011-07-01,1.2
2011-10-01,0.1
2012-01-01,0.7
2012-04-01,-0.7
2012-07-01,-0.6
2012-10-01,0.4
2013-01-01,-0.9
2013-04-01,-0.6
2013-07-01,0.4
2013-10-01,-0.1
2014-01-01,-0.3
2014-04-01,0.7
2014-07-01,-0.1
2014-10-01,-0.6
2015-01-01,-0.6
2015-04-01,0.0
2015-07-01,-0.2
2015-10-01,-0.1
2016-01-01,1.0
2016-04-01,0.4
2016-07-01,0.4
2016-10-01,0.4
2017-01-01,0.2
2017-04-01,-0.9
2017-07-01,-0.5
2017-10-01,0.4
2018-01-01,0.7
2018-04-01,0.9
2018-07-01,0.1
2018-10-01,0.1
2019-01-01,-1.0
2019-04-01,-0.4
2019-07-01,0.2
2019-10-01,-0.6
2020-01-01,0.1
2020-04-01,-2.6
2020-07-01,1.6
2020-10-01,0.5
2021-01-01,1.9
2021-04-01,6.8
2021-07-01,1.7
2021-10-01,3.4
2022-01-01,2.4
2022-04-01,-1.3
2022-07-01,0.2
2022-10-01,-0.5
2023-01-01,-1.0
2023-04-01,-1.0
2023-07-01,-3.0
2023-10-01,-2.7
2024-01-01,-1.3
